origin,saved_converged,rerun_converged,warnflag,task,iterations,function_calls,objective_value,gradient_l2_norm,gradient_max_abs,drift,ma.L1,ma.L2,sigma2,minimum_ma_root_modulus,training_return_volatility,trailing_20_return_volatility,trailing_60_return_volatility,absolute_1_day_return,absolute_5_day_return,absolute_20_day_return,convergence_matches_saved
2021-08-13,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,130,-3.021623207596065,0.08303465469736027,0.07677944164896956,0.0003948399188826607,-0.09161668482113089,-0.019272858126567146,0.0001389958430108357,5.208401840959369,0.011840819864461153,0.006358516434252922,0.0057538983227398005,0.001818191113924783,0.007721837207067317,0.03324301075560676,True
2021-08-20,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,130,-3.021847502455369,0.08314630799858218,0.07669946961997055,0.00039373649174796613,-0.09155004808452115,-0.019403075172742673,0.00013893331909875512,5.197547165514033,0.011838115022503953,0.004907450285131179,0.005855857939981936,0.007925666368951312,0.005757592018853508,0.0077436642141126555,True
2021-08-27,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,125,-3.022099277527222,0.08314928101258161,0.07670739194942967,0.0003956076915901504,-0.09152511720664237,-0.019369906432375125,0.0001388633287754482,5.201048220171208,0.011835096316649437,0.005408064303807886,0.006056412755385959,0.008901266784802964,0.015420975856980768,0.026420366119081606,True
2021-09-03,False,False,2,ABNORMAL: ,2,230,-3.0224314748810386,0.08305410755581072,0.07684962177734492,0.00039624011046549137,-0.09149338871270557,-0.01941300769880895,0.00013877125168123652,5.19763638473513,0.011831145449443269,0.00490383569539609,0.005966690304260574,0.0002429796931515682,0.006265544194377526,0.023650765239572102,True
2021-09-13,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,130,-3.0227168804371116,0.08307281988564502,0.07687459833150315,0.0003939618392751796,-0.09144198866781893,-0.01939628524646271,0.0001386920338550354,5.200089048336769,0.011827709858323687,0.005458177345359037,0.006082507869386544,0.002555952866250877,0.014450093239132045,0.0014788347933727408,True
2021-09-20,False,False,2,ABNORMAL: ,2,240,-3.0228013144511645,0.08266526402919797,0.07714380019230618,0.00039028897430160925,-0.09130408549757098,-0.019384587340884923,0.00013866903581736381,5.203616409952948,0.011826541732396615,0.006465676631158333,0.006191082161015679,0.016814697062931927,0.025283108614594596,0.018046681802368347,True
2021-09-27,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,130,-3.023021138347445,0.08300779708805803,0.07686556058317565,0.0003926427531034256,-0.09115278357181461,-0.019592409449122702,0.00013860757536357561,5.187194772897899,0.01182383408174492,0.006708151332184476,0.006455377384351546,0.002864996428735722,0.019620010719167524,0.01384764694018159,True
2021-10-04,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,120,-3.0229285205766665,0.08275767041955097,0.07690905037272303,0.00038796822230420324,-0.09134631154165491,-0.01918279907996688,0.00013863334663943822,5.221617274688179,0.011825025719806797,0.009099961964828878,0.0072430672501297925,0.01297989911434172,0.03213929038818453,0.05225248152274364,True
2021-10-11,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,135,-3.0231563695896937,0.08279997514084184,0.07683083693699502,0.00038962335539569895,-0.09139411851181768,-0.019144578311737364,0.00013857000280549203,5.224337012792915,0.011822364396369085,0.009825520680484609,0.00742209752069934,0.007266062809293317,0.014015592649003317,0.023786795634608282,True
2021-10-18,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,130,-3.0233118546352036,0.08305609652161332,0.07662564041055787,0.00039320374443571203,-0.09116129704818951,-0.019157700013335444,0.00013852654625168804,5.2272821969353185,0.011820277111198282,0.009464612838469269,0.007144191774442841,0.0029559993849384014,0.028350194574430887,0.0298465075544172,True
2021-10-25,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,135,-3.023601501270049,0.08311433692231553,0.07670767461221174,0.0003954927206744666,-0.09108584050888617,-0.019038095764564826,0.00013844638624512567,5.2398960006577875,0.011816759856574988,0.009073437032238908,0.0071689735024136276,0.005348450092863999,0.018522035865028208,0.028748532700277885,True
